anchor,positive
A person on a horse jumps over a broken down airplane.,"A person is outdoors, on a horse."
Children smiling and waving at camera,There are children present
A boy is jumping on skateboard in the middle of a red bridge.,The boy does a skateboarding trick.
Two blond women are hugging one another.,There are women showing affection.
"A few people in a restaurant setting, one of them is drinking orange juice.",The diners are at a restaurant.
An older man is drinking orange juice at a restaurant.,A man is drinking juice.
"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man drinking water from a fountain.
Two women who just had lunch hugging and saying goodbye.,There are two woman in this picture.
"Two women, holding food carryout containers, hug.",Two women hug each other.
A Little League team tries to catch a runner sliding into a base in an afternoon game.,A team is trying to tag a runner out.
The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.,A school is hosting an event.
High fashion ladies wait outside a tram beside a crowd of people in the city.,Women are waiting by a tram.
"A man, woman, and child enjoying themselves on a beach.",A family of three is at the beach.
People waiting to get on a train or just getting off.,There are people just getting on a train
People waiting to get on a train or just getting off.,There are people waiting on a train.
A couple playing with a little boy on the beach.,A couple are playing with a young child outside.
A couple play in the tide with their young son.,The family is outside.
A man and a woman cross the street in front of a pizza and gyro restaurant.,"Near a couple of restaurants, two people walk across the street."
A woman in a green jacket and hood over her head looking towards a valley.,The woman is wearing green.
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A woman in white.
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A man is advertising for a restaurant.
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman is wearing white.
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,They are walking with a sign.
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman and man are outdoors.
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",The adults are both male and female.
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walk across a street.
"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two people walk away from a restaurant across a street.
