anchor,positive,negative
A person on a horse jumps over a broken down airplane.,"A person is outdoors, on a horse.","A person is at a diner, ordering an omelette."
Children smiling and waving at camera,There are children present,The kids are frowning
A boy is jumping on skateboard in the middle of a red bridge.,The boy does a skateboarding trick.,The boy skates down the sidewalk.
Two blond women are hugging one another.,There are women showing affection.,The women are sleeping.
"A few people in a restaurant setting, one of them is drinking orange juice.",The diners are at a restaurant.,The people are sitting at desks in school.
An older man is drinking orange juice at a restaurant.,A man is drinking juice.,Two women are at a restaurant drinking wine.
"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man drinking water from a fountain.,A blond man wearing a brown shirt is reading a book on a bench in the park
Two women who just had lunch hugging and saying goodbye.,There are two woman in this picture.,The friends scowl at each other over a full dinner table.
"Two women, holding food carryout containers, hug.",Two women hug each other.,Two groups of rival gang members flipped each other off.
A Little League team tries to catch a runner sliding into a base in an afternoon game.,A team is trying to tag a runner out.,A team is playing baseball on Saturn.
The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.,A school is hosting an event.,A school hosts a basketball game.
High fashion ladies wait outside a tram beside a crowd of people in the city.,Women are waiting by a tram.,The women do not care what clothes they wear.
"A man, woman, and child enjoying themselves on a beach.",A family of three is at the beach.,A family of three is at the mall shopping.
A couple playing with a little boy on the beach.,A couple are playing with a young child outside.,A couple watch a little girl play by herself on the beach.
A couple play in the tide with their young son.,The family is outside.,The family is sitting down for dinner.
A man and a woman cross the street in front of a pizza and gyro restaurant.,"Near a couple of restaurants, two people walk across the street.",The people are standing still on the curb.
A woman in a green jacket and hood over her head looking towards a valley.,The woman is wearing green.,The woman is nake.
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A woman in white.,The man is sitting down while he has a sign for John's Pizza and Gyro in his arms.
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A woman in white.,They are protesting outside the capital.
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A woman in white.,The woman is wearing black.
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A woman in white.,A man and a soman are eating together at John's Pizza and Gyro.
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A woman in white.,Olympic swimming.
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman is wearing white.,The man is sitting down while he has a sign for John's Pizza and Gyro in his arms.
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman is wearing white.,They are protesting outside the capital.
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman is wearing white.,The woman is wearing black.
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman is wearing white.,A man and a soman are eating together at John's Pizza and Gyro.
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman is wearing white.,Olympic swimming.
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman and man are outdoors.,The man is sitting down while he has a sign for John's Pizza and Gyro in his arms.
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman and man are outdoors.,They are protesting outside the capital.
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman and man are outdoors.,The woman is wearing black.
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman and man are outdoors.,A man and a soman are eating together at John's Pizza and Gyro.
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman and man are outdoors.,Olympic swimming.
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,They are walking with a sign.,The man is sitting down while he has a sign for John's Pizza and Gyro in his arms.
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,They are walking with a sign.,They are protesting outside the capital.
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,They are walking with a sign.,The woman is wearing black.
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,They are walking with a sign.,A man and a soman are eating together at John's Pizza and Gyro.
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,They are walking with a sign.,Olympic swimming.
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A man is advertising for a restaurant.,The man is sitting down while he has a sign for John's Pizza and Gyro in his arms.
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A man is advertising for a restaurant.,They are protesting outside the capital.
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A man is advertising for a restaurant.,The woman is wearing black.
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A man is advertising for a restaurant.,A man and a soman are eating together at John's Pizza and Gyro.
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A man is advertising for a restaurant.,Olympic swimming.
